,大卫·赫斯特,大卫·菲利普斯,大卫·怀特,李·查普曼,保罗·威尔金森,阿兰·希勒,埃里克·坎通纳,布莱恩·迪恩,莱斯·费迪南德,达利安·阿特金森,马克·罗宾斯,埃迪·麦戈德里克,约翰·威廉姆斯,莫·约翰斯通,马修·勒蒂希埃,沃伦·巴顿,彼得·比尔兹利,格雷厄姆·斯图尔特,马克·沃尔特斯,尼克·亨利,克里斯·基沃姆亚,加文·约翰逊,伯尼·斯拉文,迪恩·霍兹沃斯,埃里克·扬,米克·哈福德,鲁尔·福克斯,马克·休斯,加里·帕克,米奇·金,加里·班尼斯特,贡纳·哈勒,李·鲍维,伊恩·赖特,格雷姆·夏普,扬·莫尔比,罗伯特·瓦日查,巴里·霍恩,加里·斯皮德,马克·布莱特,迈克·米利根,伊恩·克鲁克,尼格尔·克拉夫,加雷斯·索斯盖特,安迪·伊姆佩,保罗·比斯利,大卫·巴德斯利,维尼·琼斯,埃迪·纽顿,丹尼·威尔逊,迪恩·桑德斯,克里斯·阿姆斯特朗,约翰·沃克,汤米·赖特,罗比·厄尔,伊恩·奥尔尼,戈登·杜里,安迪·辛顿,米歇尔·冯克,马克·阿特金斯,特迪·谢林汉姆,约翰·法沙努,威利·法尔科纳,瑞恩·吉格斯,史蒂夫·布鲁斯,伊恩·多维,阿兰·克纳汉,杰森·多泽尔,彼得·恩德洛武,唐·哈奇森,迈克·谢伦,阿德里安·利特约翰,加里·潘里斯,斯图尔特·里普利,罗尼·罗森塔尔,史蒂夫·麦克马纳曼,布莱恩·麦克莱尔,保罗·默森,安迪·汤森,米克·奎因,约翰·亨德里,加里·麦卡利斯特,凯文·加拉切尔,托尼·科蒂,尼埃尔·奎因,布拉德利·艾伦,克里斯·萨顿,尼尔·亚当斯,迈克·纽维尔,尼克·巴姆比,伊恩·拉什,德怀特·约克,罗德·华莱士,约翰·斯宾塞,安迪·科尔 ,罗伊·基恩,凯文·坎贝尔,达伦·安德顿,埃凡·埃科库,伊恩·马歇尔,马克·斯坦,保罗·因斯,克里斯·巴特-威廉斯,特雷沃·莫利,沃森·戈登,罗比·福勒,保罗·里德奥特,安德烈·坎切尔斯基,斯坦·科利莫尔,乌韦·罗斯勒,尤尔根·克林斯曼 ,罗伯特·李,托尼·耶博阿,迪昂·达布林 ,盖伊·惠廷汉姆,布莱恩·罗伊,朱利安·迪克斯,丹尼斯·博格坎普,约翰·哈特森,丹尼斯·怀斯 ,约翰·巴恩斯,邓肯·弗格森,萨沃·米洛舍维奇,诺埃尔·惠兰,保罗·斯科尔斯,迈克尔·欧文,奥莱·索尔斯克亚,哈塞尔巴因克,蒂姆·舍伍德,马库斯·盖尔,朱利安·约希姆,埃米尔·赫斯基 ,大卫·贝克汉姆 ,保罗·万乔普,保罗·迪卡尼奥 ,吉安弗兰科·佐拉,凯文·菲利普斯,蒂埃里·亨利,古斯塔沃·波耶特,特雷沃·辛克莱尔,詹姆斯·比蒂,马克·维杜卡,鲁德·范尼斯特鲁伊,哈里·科威尔,杰森·尤尔,尼古拉·阿内尔卡,罗比·基恩,罗伯特·皮雷斯,弗兰克·兰帕德,埃聚尔·古德约翰森,杰梅因·迪福 ,克雷格·贝拉米,韦恩·鲁尼,雅库布,路易斯·萨哈,克里斯蒂亚诺·罗纳尔多,史蒂文·杰拉德,凯文·戴维斯,迪迪埃·德罗巴,达伦·本特,埃曼纽尔·阿德巴约,彼得·克劳奇,费尔南多·托雷斯,迪米塔尔·贝尔巴托夫,卡洛斯·特维斯,罗宾·范佩西,加布里埃尔·阿邦拉霍,凯文·诺兰,路易斯·苏亚雷斯,塞尔吉奥·阿圭罗,丹尼尔·斯图里奇,罗梅卢·卢卡库,哈里·凯恩,奧利弗·吉鲁,埃登·阿扎尔,杰米·瓦尔迪,萨迪奥·马内,拉希姆·斯特林,穆罕默德·萨拉赫,克里斯蒂安·本特克
Jul-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-92,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-92,5,5,7,5,5,10,6,4,4,5,6,3,4,0,3,0,3,0,3,3,0,2,3,3,3,5,2,3,4,2,4,3,2,6,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct-92,5,5,8,8,7,12,6,5,5,7,6,4,4,0,3,0,3,3,4,3,3,0,4,3,3,7,0,5,4,0,4,3,0,8,4,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,7,5,5,3,3,4,3,3,0,0,4,0,0,0,3,3,0,5,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov-92,6,6,9,9,7,13,6,5,5,9,10,5,4,0,5,0,0,4,4,0,4,0,4,0,4,8,0,7,5,0,5,4,0,10,6,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8,6,5,3,0,4,0,0,0,0,5,0,3,0,3,3,0,5,4,4,5,4,3,3,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec-92,8,7,11,10,7,16,9,5,7,11,11,7,0,0,6,0,6,0,6,0,7,4,4,5,4,8,0,10,6,0,5,4,0,11,7,0,0,0,6,7,0,0,5,0,0,0,0,0,5,0,9,8,5,0,0,6,0,6,0,0,6,0,0,0,0,6,0,5,4,4,5,5,6,0,5,0,5,0,0,10,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-93,9,7,13,11,8,16,10,9,8,11,11,7,5,0,7,0,7,5,6,0,9,0,0,6,0,8,0,11,8,0,7,0,0,11,7,0,0,0,7,8,0,0,5,0,0,0,0,0,5,0,12,9,5,0,0,6,0,6,0,0,8,0,0,0,0,7,0,5,5,0,8,6,6,0,5,0,7,0,0,13,5,0,6,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-93,9,7,14,12,8,16,12,10,8,11,12,7,5,0,7,0,9,0,6,0,9,0,0,8,0,9,0,11,8,0,7,0,5,11,7,0,0,0,7,8,0,0,6,0,0,0,0,0,0,0,13,11,0,0,0,6,0,6,0,0,15,0,0,7,0,9,0,5,6,6,10,7,6,0,0,0,8,0,0,14,0,0,6,7,6,5,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-93,10,7,14,12,9,16,13,12,11,11,13,7,0,0,12,0,9,8,6,0,10,0,0,13,0,9,0,13,8,0,7,0,0,13,7,0,0,0,7,9,0,0,8,0,0,0,0,0,0,0,13,13,0,0,0,7,0,7,0,0,16,6,0,7,0,10,0,0,6,7,11,8,6,0,6,0,9,0,0,14,0,0,6,11,7,0,0,8,6,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-93,10,8,14,14,12,16,15,15,17,11,14,7,0,0,12,0,9,9,10,0,10,0,0,18,0,9,0,15,9,0,8,0,0,14,7,0,0,0,7,10,0,0,9,0,0,0,0,0,0,0,14,14,0,0,0,9,0,7,0,0,20,0,0,8,0,11,0,7,0,7,11,8,0,7,0,0,9,0,0,15,7,0,10,12,9,7,8,9,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
